encoder,case_id,symbology,category,ec_level,encoding,pdf417_columns,status,detail,n_samples,n_trials_valid,validity_rate,median_ms,mean_ms,stddev_ms,min_ms,median_area_modules,median_file_bytes
aztecgen,az-alnum-ecc10,aztec,alnum,10,,,ok,,25,5,1.0,1.5713,1.5574,0.2626,1.1393,529,258
aztecgen,az-alnum-ecc10-svg,aztec,alnum,10,,,ok,,25,5,1.0,1.3443,1.3645,0.236,1.0153,529,1278
aztecgen,az-alnum-ecc23,aztec,alnum,23,,,ok,,25,5,1.0,2.0269,1.93,0.2275,1.6076,729,309
aztecgen,az-alnum-ecc23-svg,aztec,alnum,23,,,ok,,25,5,1.0,1.8293,1.7358,0.2102,1.4417,729,1678
aztecgen,az-alnum-ecc50,aztec,alnum,50,,,ok,,25,5,1.0,1.9284,1.7667,0.2546,1.3531,729,301
aztecgen,az-alnum-ecc50-svg,aztec,alnum,50,,,ok,,25,5,1.0,1.7023,1.5813,0.2964,1.1749,729,1739
aztecgen,az-base64_nc-ecc23,aztec,base64_near_capacity,23,,,ok,,25,5,1.0,189.5463,191.4591,4.7579,185.997,19321,3548
aztecgen,az-base64_nc-ecc23-svg,aztec,base64_near_capacity,23,,,ok,,25,5,1.0,184.7575,185.0956,3.4819,179.5388,19321,52040
aztecgen,az-bcbp-ecc23,aztec,bcbp,23,,,ok,,25,5,1.0,3.8045,3.9254,1.3404,2.4353,961,375
aztecgen,az-bcbp-ecc23-svg,aztec,bcbp,23,,,ok,,25,5,1.0,3.5085,3.6266,1.2749,2.2117,961,2275
aztecgen,az-json_nc-ecc23,aztec,json_near_capacity,23,,,ok,,25,5,1.0,164.8754,166.5598,4.0334,162.4659,17161,3165
aztecgen,az-json_nc-ecc23-svg,aztec,json_near_capacity,23,,,ok,,25,5,1.0,160.0648,161.3318,3.8601,157.9547,17161,42729
aztecgen,az-latin1-ecc23,aztec,latin1,23,iso-8859-1,,ok,,25,5,1.0,3.1408,3.2246,1.0463,1.8251,961,362
aztecgen,az-latin1-ecc23-auto,aztec,latin1,23,,,ok,,25,5,1.0,3.1153,3.2135,1.0517,1.8283,961,360
aztecgen,az-latin1-ecc23-auto-svg,aztec,latin1,23,,,ok,,25,5,1.0,2.8181,2.9307,0.9578,1.6111,961,2322
aztecgen,az-latin1-ecc23-svg,aztec,latin1,23,iso-8859-1,,ok,,25,5,1.0,2.8382,2.9408,0.9605,1.6206,961,2354
aztecgen,az-latin1_ambiguous-ecc23,aztec,latin1_ambiguous,23,iso-8859-1,,ok,,25,5,1.0,3.9007,4.088,1.5923,2.2297,1369,429
aztecgen,az-latin1_ambiguous-ecc23-auto,aztec,latin1_ambiguous,23,,,ok,,0,0,0.0,,,,,,
aztecgen,az-latin1_ambiguous-ecc23-auto-svg,aztec,latin1_ambiguous,23,,,ok,,0,0,0.0,,,,,,
aztecgen,az-latin1_ambiguous-ecc23-svg,aztec,latin1_ambiguous,23,iso-8859-1,,ok,,25,5,1.0,3.5209,3.6554,1.4586,1.9901,1369,3510
aztecgen,az-lower_text-ecc23,aztec,lower_text,23,,,ok,,25,5,1.0,1.8695,1.9177,0.1994,1.6966,529,265
aztecgen,az-lower_text-ecc23-svg,aztec,lower_text,23,,,ok,,25,5,1.0,1.7039,1.7276,0.1798,1.5269,529,1311
aztecgen,az-mixed_modes-ecc23,aztec,mixed_modes,23,,,ok,,25,5,1.0,3.7787,4.9543,1.5505,3.5782,961,362
aztecgen,az-mixed_modes-ecc23-svg,aztec,mixed_modes,23,,,ok,,25,5,1.0,6.1513,5.634,2.6951,3.2952,961,2432
aztecgen,az-near_capacity-ecc23,aztec,near_capacity,23,,,ok,,25,5,1.0,111.1359,113.1524,5.2729,108.7972,12769,2427
aztecgen,az-near_capacity-ecc23-svg,aztec,near_capacity,23,,,ok,,25,5,1.0,107.8732,109.665,5.0061,106.3578,12769,33330
aztecgen,az-numeric_long-ecc23,aztec,numeric_long,23,,,ok,,25,5,1.0,5.2305,5.4254,1.8874,3.3848,1369,437
aztecgen,az-numeric_long-ecc23-svg,aztec,numeric_long,23,,,ok,,25,5,1.0,4.6936,4.5471,0.6819,3.2308,1369,3532
aztecgen,az-numeric_short-ecc23,aztec,numeric_short,23,,,ok,,25,5,1.0,0.5238,0.6739,0.2858,0.3847,225,180
aztecgen,az-numeric_short-ecc23-svg,aztec,numeric_short,23,,,ok,,25,5,1.0,0.3475,0.3732,0.0562,0.2981,225,658
aztecgen,az-text_para-ecc23,aztec,text_para,23,,,ok,,25,5,1.0,14.8822,15.6319,4.3695,8.9968,2809,701
aztecgen,az-text_para-ecc23-svg,aztec,text_para,23,,,ok,,25,5,1.0,14.0184,15.2827,5.2563,8.3959,2809,6984
aztecgen,az-tiny-ecc23,aztec,tiny,23,,,ok,,25,5,1.0,0.471,0.6444,0.2861,0.3595,225,183
aztecgen,az-tiny-ecc23-svg,aztec,tiny,23,,,ok,,25,5,1.0,0.3064,0.3334,0.1455,0.2586,225,667
aztecgen,az-upper_c40-ecc23,aztec,upper_c40,23,,,ok,,25,5,1.0,2.1938,2.1523,0.3264,1.7504,729,303
aztecgen,az-upper_c40-ecc23-svg,aztec,upper_c40,23,,,ok,,25,5,1.0,1.9843,1.9867,0.3278,1.5729,729,1684
aztecgen,az-url-ecc23,aztec,url,23,,,ok,,25,5,1.0,3.3006,3.1925,0.2722,2.6396,961,357
aztecgen,az-url-ecc23-svg,aztec,url,23,,,ok,,25,5,1.0,3.0812,3.5877,1.2996,2.4102,961,2268
aztecgen,az-url_nc-ecc23,aztec,url_near_capacity,23,,,ok,,25,5,1.0,175.5164,177.9638,6.4912,172.0614,18225,3388
aztecgen,az-url_nc-ecc23-svg,aztec,url_near_capacity,23,,,ok,,25,5,1.0,170.4751,171.7346,3.6099,167.1839,18225,47221
aztecgen,az-utf8-ecc23,aztec,utf8,23,utf-8,,ok,,25,5,1.0,1.693,1.6598,0.3319,1.0461,529,267
aztecgen,az-utf8-ecc23-auto,aztec,utf8,23,,,ok,UnicodeEncodeError: 'latin-1' codec can't encode character '\u20ac' in position 9: ordinal not in range(256),10,2,0.4,1.3993,1.4061,0.3304,1.0775,445.0,246.0
aztecgen,az-utf8-ecc23-auto-svg,aztec,utf8,23,,,ok,UnicodeEncodeError: 'latin-1' codec can't encode character '\u20ac' in position 9: ordinal not in range(256),10,2,0.4,1.234,1.2298,0.3098,0.9148,445.0,1088.0
aztecgen,az-utf8-ecc23-svg,aztec,utf8,23,utf-8,,ok,,25,5,1.0,1.5022,1.4632,0.3029,0.8993,529,1292
aztecgen,az-xml_nc-ecc23,aztec,xml_near_capacity,23,,,ok,,25,5,1.0,146.026,146.9601,3.7141,142.4713,15625,2964
aztecgen,az-xml_nc-ecc23-svg,aztec,xml_near_capacity,23,,,ok,,25,5,1.0,142.1149,142.6548,3.508,138.4717,15625,39706
opencv,qr-alnum-eclH,qr,alnum,H,,,ok,,25,5,1.0,4.738,4.4874,0.9824,3.313,1089,2676
opencv,qr-alnum-eclH-svg,qr,alnum,H,,,unsupported,no native SVG writer,0,0,,,,,,,
opencv,qr-alnum-eclL,qr,alnum,L,,,ok,,25,5,1.0,3.2283,3.2948,0.5136,2.3825,625,1704
opencv,qr-alnum-eclL-svg,qr,alnum,L,,,unsupported,no native SVG writer,0,0,,,,,,,
opencv,qr-alnum-eclM,qr,alnum,M,,,ok,,25,5,1.0,4.6519,4.193,0.7433,2.4071,841,2166
opencv,qr-alnum-eclM-svg,qr,alnum,M,,,unsupported,no native SVG writer,0,0,,,,,,,
opencv,qr-alnum-eclQ,qr,alnum,Q,,,ok,,25,5,1.0,6.2152,6.1592,1.6163,3.5132,841,2168
opencv,qr-alnum-eclQ-svg,qr,alnum,Q,,,unsupported,no native SVG writer,0,0,,,,,,,
opencv,qr-base64_nc-eclM,qr,base64_near_capacity,M,,,ok,,25,5,1.0,155.8576,155.3154,4.864,149.4118,27225,55159
opencv,qr-base64_nc-eclM-svg,qr,base64_near_capacity,M,,,unsupported,no native SVG writer,0,0,,,,,,,
opencv,qr-bcbp-eclM,qr,bcbp,M,,,ok,,25,5,1.0,3.5465,4.8595,1.87,3.2644,841,2212
opencv,qr-bcbp-eclM-svg,qr,bcbp,M,,,unsupported,no native SVG writer,0,0,,,,,,,
opencv,qr-json_nc-eclM,qr,json_near_capacity,M,,,ok,,25,5,1.0,155.8581,155.6223,6.0736,148.8135,27225,54758
opencv,qr-json_nc-eclM-svg,qr,json_near_capacity,M,,,unsupported,no native SVG writer,0,0,,,,,,,
opencv,qr-kanji-eclM,qr,kanji,M,shift_jis,,ok,,25,5,1.0,5.9991,5.6471,1.1305,3.3137,1369,3326
opencv,qr-kanji-eclM-auto,qr,kanji,M,,,ok,,25,5,1.0,5.9888,5.6157,1.1354,3.2827,1369,3326
opencv,qr-kanji-eclM-auto-svg,qr,kanji,M,,,unsupported,no native SVG writer,0,0,,,,,,,
opencv,qr-kanji-eclM-svg,qr,kanji,M,shift_jis,,unsupported,no native SVG writer,0,0,,,,,,,
opencv,qr-latin1-eclM,qr,latin1,M,iso-8859-1,,ok,,25,5,1.0,7.9516,8.0041,2.3042,4.4802,1681,3910
opencv,qr-latin1-eclM-auto,qr,latin1,M,,,ok,,25,5,1.0,7.8515,7.9432,2.2725,4.4694,1681,3910
